node_id	coding	meaning	depth	top_branch_id	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10
42600	I518	I51.8 Other ill-defined heart diseases	3	1180	0.000385215860549	0.00113906070234	-0.00194596615562	-0.00133745504735	0.00259387932211	0.00200006849348	0.000565598088714	-0.00130404703935	0.00334096667057	-0.00303014745587
42610	I519	I51.9 Heart disease, unspecified	3	1180	0.000239234954643	0.00112557794046	-0.00227941407839	-0.00143754362272	0.00225454241923	0.00173491717723	0.00048022987383	-0.00127658954898	0.00339728105644	-0.00353969068904
42620	I52	I52 Other heart disorders in diseases classified elsewhere	2	1180	9.13522269245e-05	0.000356648681049	-0.00260473438454	0.00183802944122	0.000709450885585	0.00127198812697	-0.00187521375895	-0.00165820536764	0.00359603969924	-0.00280781404268
42630	I520	I52.0 Other heart disorders in bacterial diseases classified elsewhere	3	1180	0.000165840916201	0.00082048168649	-0.00254170840633	0.00160200157767	0.000905353498439	0.0011886740294	-0.00192407103778	-0.00152881055092	0.00405245649122	-0.00299405678107
42640	I521	I52.1 Other heart disorders in other infectious and parasitic diseases classified elsewhere	3	1180	4.96115053698e-05	0.000446008656349	-0.00247120485317	0.00178184198761	0.000721979722225	0.00136067157364	-0.00187950609	-0.00177102661778	0.00350791463432	-0.00291095640627
42650	I528	I52.8 Other heart disorders in other diseases classified elsewhere	3	1180	0.000148761232222	0.000915220916747	-0.00253132133832	0.00159760598462	0.00097359557364	0.00117859442682	-0.00195083884019	-0.0015261373671	0.00411234880627	-0.00295940018731
42660	I60	I60 Subarachnoid haemorrhage	2	1190	0.00222266015966	-0.00436599563158	0.00096271702389	-0.000999119102396	0.000686366195834	-0.00128484227083	-0.00198985764037	0.000620468762796	0.000303843513287	0.00325708580894
42670	I600	I60.0 Subarachnoid haemorrhage from carotid siphon and bifurcation	3	1190	0.00315388020063	-0.00511588477359	0.00075022622484	-0.000943583905961	0.000957173958774	-0.00127401608935	-0.00258890969349	0.000834510012145	0.000173093993775	0.00372498049666
42680	I601	I60.1 Subarachnoid haemorrhage from middle cerebral artery	3	1190	0.00302256524821	-0.00550638799572	0.000648241319005	-0.000651118985316	0.001058658182	-0.00121131294214	-0.00283910993621	0.00123423254412	0.000373587040679	0.0038579887655
42690	I602	I60.2 Subarachnoid haemorrhage from anterior communicating artery	3	1190	0.00272840985884	-0.00480190925884	0.000737588171189	-0.000849437872703	0.000765698496807	-0.00117426520286	-0.00217468087812	0.000600645845743	0.000268168072627	0.00346634320236
