node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable	is_target_code
34960	G82	G82 Paraplegia and tetraplegia	960	2	960	Block G80-G83	Y	Y
35030	G83	G83 Other paralytic syndromes	960	2	960	Block G80-G83	Y	Y
35120	G90	G90 Disorders of autonomic nervous system	970	2	970	Block G90-G99	Y	Y
35200	G91	G91 Hydrocephalus	970	2	970	Block G90-G99	Y	Y
35270	G92	G92 Toxic encephalopathy	970	2	970	Block G90-G99	Y	Y
35280	G93	G93 Other disorders of brain	970	2	970	Block G90-G99	Y	Y
35390	G94	G94 Other disorders of brain in diseases classified elsewhere	970	2	970	Block G90-G99	Y	Y
35440	G95	G95 Other diseases of spinal cord	970	2	970	Block G90-G99	Y	Y
35500	G96	G96 Other disorders of central nervous system	970	2	970	Block G90-G99	Y	Y
35550	G97	G97 Postprocedural disorders of nervous system, not elsewhere classified	970	2	970	Block G90-G99	Y	Y
35610	G98	G98 Other disorders of nervous system, not elsewhere classified	970	2	970	Block G90-G99	Y	Y
35620	G99	G99 Other disorders of nervous system in diseases classified elsewhere	970	2	970	Block G90-G99	Y	Y
31770	G000	G00.0 Haemophilus meningitis	31760	3	870	Block G00-G09	Y	Y
31780	G001	G00.1 Pneumococcal meningitis	31760	3	870	Block G00-G09	Y	Y
31790	G002	G00.2 Streptococcal meningitis	31760	3	870	Block G00-G09	Y	Y
31800	G003	G00.3 Staphylococcal meningitis	31760	3	870	Block G00-G09	Y	Y
31810	G008	G00.8 Other bacterial meningitis	31760	3	870	Block G00-G09	Y	Y
31820	G009	G00.9 Bacterial meningitis, unspecified	31760	3	870	Block G00-G09	Y	Y
31850	G020	G02.0 Meningitis in viral diseases classified elsewhere	31840	3	870	Block G00-G09	Y	Y
31860	G021	G02.1 Meningitis in mycoses	31840	3	870	Block G00-G09	Y	Y
31870	G028	G02.8 Meningitis in other specified infectious and parasitic diseases classified elsewhere	31840	3	870	Block G00-G09	Y	Y
31890	G030	G03.0 Nonpyogenic meningitis	31880	3	870	Block G00-G09	Y	Y
31900	G031	G03.1 Chronic meningitis	31880	3	870	Block G00-G09	Y	Y
31910	G032	G03.2 Benign recurrent meningitis [Mollaret]	31880	3	870	Block G00-G09	Y	Y
31920	G038	G03.8 Meningitis due to other specified causes	31880	3	870	Block G00-G09	Y	Y
31930	G039	G03.9 Meningitis, unspecified	31880	3	870	Block G00-G09	Y	Y
31950	G040	G04.0 Acute disseminated encephalitis	31940	3	870	Block G00-G09	Y	Y
31960	G041	G04.1 Tropical spastic paraplegia	31940	3	870	Block G00-G09	Y	Y
31970	G042	G04.2 Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified	31940	3	870	Block G00-G09	Y	Y
31980	G048	G04.8 Other encephalitis, myelitis and encephalomyelitis	31940	3	870	Block G00-G09	Y	Y
31990	G049	G04.9 Encephalitis, myelitis and encephalomyelitis, unspecified	31940	3	870	Block G00-G09	Y	Y
32010	G050	G05.0 Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere	32000	3	870	Block G00-G09	Y	Y
32020	G051	G05.1 Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere	32000	3	870	Block G00-G09	Y	Y
32030	G052	G05.2 Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere	32000	3	870	Block G00-G09	Y	Y
32040	G058	G05.8 Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere	32000	3	870	Block G00-G09	Y	Y
32060	G060	G06.0 Intracranial abscess and granuloma	32050	3	870	Block G00-G09	Y	Y
32070	G061	G06.1 Intraspinal abscess and granuloma	32050	3	870	Block G00-G09	Y	Y
32080	G062	G06.2 Extradural and subdural abscess, unspecified	32050	3	870	Block G00-G09	Y	Y
32140	G110	G11.0 Congenital nonprogressive ataxia	32130	3	880	Block G10-G14	Y	Y
32150	G111	G11.1 Early-onset cerebellar ataxia	32130	3	880	Block G10-G14	Y	Y
32160	G112	G11.2 Late-onset cerebellar ataxia	32130	3	880	Block G10-G14	Y	Y
32170	G113	G11.3 Cerebellar ataxia with defective DNA repair	32130	3	880	Block G10-G14	Y	Y
32180	G114	G11.4 Hereditary spastic paraplegia	32130	3	880	Block G10-G14	Y	Y
32190	G118	G11.8 Other hereditary ataxias	32130	3	880	Block G10-G14	Y	Y
32200	G119	G11.9 Hereditary ataxia, unspecified	32130	3	880	Block G10-G14	Y	Y
32220	G120	G12.0 Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]	32210	3	880	Block G10-G14	Y	Y
32230	G121	G12.1 Other inherited spinal muscular atrophy	32210	3	880	Block G10-G14	Y	Y
32240	G122	G12.2 Motor neuron disease	32210	3	880	Block G10-G14	Y	Y
32250	G128	G12.8 Other spinal muscular atrophies and related syndromes	32210	3	880	Block G10-G14	Y	Y
32260	G129	G12.9 Spinal muscular atrophy, unspecified	32210	3	880	Block G10-G14	Y	Y
32280	G130	G13.0 Paraneoplastic neuromyopathy and neuropathy	32270	3	880	Block G10-G14	Y	Y
32290	G131	G13.1 Other systemic atrophy primarily affecting central nervous system in neoplastic disease	32270	3	880	Block G10-G14	Y	Y
32300	G132	G13.2 Systemic atrophy primarily affecting central nervous system in myxoedema	32270	3	880	Block G10-G14	Y	Y
32310	G138	G13.8 Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere	32270	3	880	Block G10-G14	Y	Y
32350	G210	G21.0 Malignant neuroleptic syndrome	32340	3	890	Block G20-G26	Y	Y
32360	G211	G21.1 Other drug-induced secondary Parkinsonism	32340	3	890	Block G20-G26	Y	Y
32370	G212	G21.2 Secondary Parkinsonism due to other external agents	32340	3	890	Block G20-G26	Y	Y
32380	G213	G21.3 Postencephalitic Parkinsonism	32340	3	890	Block G20-G26	Y	Y
