id1,id2,weight
191600,35030,1.0
191610,35120,1.0
191620,35120,1.0
191630,35120,1.0
191640,35390,1.0
31760,870,1.0
31770,31760,1.0
31780,31760,1.0
31790,31760,1.0
31800,31760,1.0
31810,31760,1.0
31820,31760,1.0
31830,870,1.0
31840,870,1.0
31850,31840,1.0
31860,31840,1.0
31870,31840,1.0
31880,870,1.0
31890,31880,1.0
31900,31880,1.0
31910,31880,1.0
31920,31880,1.0
31930,31880,1.0
31940,870,1.0
31950,31940,1.0
31960,31940,1.0
31970,31940,1.0
31980,31940,1.0
31990,31940,1.0
32000,870,1.0
32010,32000,1.0
32020,32000,1.0
32030,32000,1.0
32040,32000,1.0
32050,870,1.0
32060,32050,1.0
32070,32050,1.0
32080,32050,1.0
32090,870,1.0
32100,870,1.0
32110,870,1.0
32120,880,1.0
32130,880,1.0
32140,32130,1.0
32150,32130,1.0
32160,32130,1.0
32170,32130,1.0
32180,32130,1.0
32190,32130,1.0
32200,32130,1.0
32210,880,1.0
32220,32210,1.0
32230,32210,1.0
32240,32210,1.0
32250,32210,1.0
32260,32210,1.0
32270,880,1.0
32280,32270,1.0
32290,32270,1.0
32300,32270,1.0
32310,32270,1.0
32320,880,1.0
32330,890,1.0
32340,890,1.0
32350,32340,1.0
32360,32340,1.0
32370,32340,1.0
32380,32340,1.0
32390,32340,1.0
32400,32340,1.0
32410,32340,1.0
32420,890,1.0
32430,890,1.0
32440,32430,1.0
32450,32430,1.0
32460,32430,1.0
32470,32430,1.0
32480,32430,1.0
32490,32430,1.0
32500,890,1.0
32510,32500,1.0
32520,32500,1.0
32530,32500,1.0
32540,32500,1.0
32550,32500,1.0
32560,32500,1.0
32570,32500,1.0
32580,32500,1.0
32590,890,1.0
32600,32590,1.0
32610,32590,1.0
32620,32590,1.0
32630,32590,1.0
32640,32590,1.0
32650,32590,1.0
32660,32590,1.0
32670,32590,1.0
32680,32590,1.0
32690,890,1.0
32700,900,1.0
32710,32700,1.0
32720,32700,1.0
32730,32700,1.0
32740,32700,1.0
32750,900,1.0
32760,32750,1.0
32770,32750,1.0
32780,32750,1.0
32790,32750,1.0
32800,32750,1.0
32810,900,1.0
32820,32810,1.0
32830,32810,1.0
32840,910,1.0
32850,910,1.0
32860,32850,1.0
32870,32850,1.0
32880,32850,1.0
32890,32850,1.0
32900,910,1.0
32910,32900,1.0
32920,32900,1.0
32930,32900,1.0
32940,32900,1.0
32950,32900,1.0
32960,32900,1.0
32970,32900,1.0
32980,32900,1.0
32990,920,1.0
33000,32990,1.0
33010,32990,1.0
33020,32990,1.0
33030,32990,1.0
33040,32990,1.0
33050,32990,1.0
33060,32990,1.0
33070,32990,1.0
