id1,id2,weight
1130,90,1.0
1140,90,1.0
1150,90,1.0
1160,90,1.0
1170,90,1.0
1180,90,1.0
1190,90,1.0
1200,90,1.0
12070,440,1.0
12080,12070,1.0
12090,12070,1.0
1210,90,1.0
12100,12070,1.0
12110,12070,1.0
12120,12070,1.0
12130,12070,1.0
12140,12070,1.0
12150,12070,1.0
12160,12070,1.0
12170,440,1.0
12180,440,1.0
12190,12180,1.0
1220,90,1.0
12200,12180,1.0
12210,12180,1.0
12220,12180,1.0
12230,12180,1.0
12240,12180,1.0
12250,12180,1.0
12260,440,1.0
12270,12260,1.0
12280,12260,1.0
12290,12260,1.0
12300,440,1.0
12310,12300,1.0
12320,12300,1.0
12330,12300,1.0
12340,12300,1.0
12350,440,1.0
12360,12350,1.0
12370,12350,1.0
12380,12350,1.0
12390,12350,1.0
12400,12350,1.0
12410,440,1.0
12420,12410,1.0
12430,12410,1.0
12440,12410,1.0
12450,12410,1.0
12460,12410,1.0
12470,440,1.0
12480,440,1.0
12490,12480,1.0
12500,12480,1.0
12510,12480,1.0
12520,12480,1.0
12530,440,1.0
12540,12530,1.0
12550,12530,1.0
12560,12530,1.0
12570,12530,1.0
12580,440,1.0
12590,12580,1.0
12600,12580,1.0
12610,12580,1.0
12620,12580,1.0
12630,12580,1.0
12640,12580,1.0
12650,12580,1.0
12660,440,1.0
12670,12660,1.0
12680,12660,1.0
12690,12660,1.0
12700,12660,1.0
12710,12660,1.0
12720,12660,1.0
12730,440,1.0
12740,440,1.0
12750,12740,1.0
12760,12740,1.0
12770,12740,1.0
12780,12740,1.0
12790,12740,1.0
12800,440,1.0
12810,12800,1.0
12820,12800,1.0
12830,12800,1.0
12840,450,1.0
12850,12840,1.0
12860,12840,1.0
12870,12840,1.0
12880,12840,1.0
12890,12840,1.0
12900,12840,1.0
12910,12840,1.0
12920,12840,1.0
12930,450,1.0
12940,12930,1.0
12950,12930,1.0
12960,12930,1.0
12970,12930,1.0
12980,12930,1.0
12990,12930,1.0
13000,12930,1.0
13010,12930,1.0
13020,12930,1.0
13030,450,1.0
13040,13030,1.0
13050,13030,1.0
13060,13030,1.0
13070,13030,1.0
13080,13030,1.0
13090,13030,1.0
13100,450,1.0
13110,13100,1.0
13120,13100,1.0
13130,13100,1.0
13140,13100,1.0
13150,13100,1.0
13160,13100,1.0
13170,13100,1.0
13180,13100,1.0
13190,13100,1.0
13200,13100,1.0
13210,450,1.0
13220,450,1.0
13230,450,1.0
13240,13230,1.0
13250,13230,1.0
13260,13230,1.0
13270,13230,1.0
13280,450,1.0
13290,13280,1.0
13300,13280,1.0
13310,13280,1.0
13320,13280,1.0
13330,13280,1.0
13340,13280,1.0
13350,13280,1.0
13360,450,1.0
13370,450,1.0
13380,13370,1.0
13390,13370,1.0
13400,13370,1.0
13410,13370,1.0
13420,450,1.0
13430,13420,1.0
13440,13420,1.0
13450,13420,1.0
13460,13420,1.0
13470,13420,1.0
13480,13420,1.0
13490,13420,1.0
13500,13420,1.0
13510,450,1.0
13520,13510,1.0
13530,13510,1.0
13540,13510,1.0
13550,13510,1.0
13560,460,1.0
13570,13560,1.0
13580,13560,1.0
13590,460,1.0
13600,13590,1.0
13610,13590,1.0
13620,13590,1.0
13630,13590,1.0
13640,13590,1.0
13650,13590,1.0
13660,460,1.0
13670,13660,1.0
13680,13660,1.0
13690,13660,1.0
13700,13660,1.0
13710,13660,1.0
13720,13660,1.0
13730,460,1.0
13740,460,1.0
13750,13740,1.0
13760,13740,1.0
13770,13740,1.0
13780,13740,1.0
13790,13740,1.0
13800,13740,1.0
13810,460,1.0
13820,460,1.0
13830,13820,1.0
13840,13820,1.0
13850,13820,1.0
13860,13820,1.0
13870,13820,1.0
13880,13820,1.0
13890,460,1.0
13900,13890,1.0
13910,13890,1.0
13920,13890,1.0
13930,470,1.0
13940,13930,1.0
13950,13930,1.0
13960,13930,1.0
13970,13930,1.0
13980,13930,1.0
13990,13930,1.0
14000,470,1.0
14010,14000,1.0
14020,14000,1.0
14030,14000,1.0
14040,14000,1.0
14050,14000,1.0
14060,14000,1.0
14070,14000,1.0
14080,470,1.0
14090,14080,1.0
14100,14080,1.0
14110,14080,1.0
14120,14080,1.0
