node_id	coding	meaning	depth	top_branch_id	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10
1130	Block I00-I02	I00-I02 Acute rheumatic fever	1	1130	0.206285648568	0.116706381466	-0.564598491881	-0.202011569914	-0.0178410884946	0.269113666932	-0.33397471478	0.0459672689327	0.249616353592	0.330643496411
90	Chapter IX	Chapter IX Diseases of the circulatory system	0	90	-0.00521547420036	0.00184664232768	0.00440483434041	0.00290797924458	0.00927963527152	0.00759797521909	0.000431474568714	-0.0103556753297	0.00983458329826	-0.0125294191794
1140	Block I05-I09	I05-I09 Chronic rheumatic heart diseases	1	1140	-0.0309144476487	-0.071722558597	0.505610710586	-0.0907652584304	-0.132020048426	-0.395269452959	-0.420073555318	0.0362830376522	-0.0462228938528	0.24949384063
1150	Block I10-I15	I10-I15 Hypertensive diseases	1	1150	-0.272692602916	-0.207808136443	0.0788143885103	0.358358777652	-0.00978525542953	-0.0355204308985	0.643717354105	0.0590935555099	0.231715590518	-0.0433863500244
1160	Block I20-I25	I20-I25 Ischaemic heart diseases	1	1160	-0.228665703444	0.0323374722464	-0.363950246473	-0.232434579715	0.32286023664	0.205986050976	0.274025597299	0.227034817367	-0.275156636098	0.239549302619
1170	Block I26-I28	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation	1	1170	0.0186749085125	0.396905042285	0.343106236386	-0.201058529649	0.366019336671	-0.0729617070964	0.466747705894	-0.0845609534658	-0.0825508097586	-0.244103348512
1180	Block I30-I52	I30-I52 Other forms of heart disease	1	1180	-0.0721278479202	-0.00966101781961	0.0521922098657	-0.0251302995351	0.183789495458	0.0339466750958	-0.0859451152417	-0.275756196029	0.304311394483	-0.186085720573
1190	Block I60-I69	I60-I69 Cerebrovascular diseases	1	1190	0.171706317954	0.280126133002	0.184148371678	0.190297230198	0.203977661562	0.0837964737006	-0.264788872541	0.378528188612	-0.255937213695	0.116605193467
1200	Block I70-I79	I70-I79 Diseases of arteries, arterioles and capillaries	1	1200	-0.0117586257772	-0.218363175679	-0.114841759306	-0.254444541309	-0.536347262484	0.27436592148	-0.0297112686849	0.0811220374066	-0.074700622257	-0.225147399347
1210	Block I80-I89	I80-I89 Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	1	1210	0.138138728953	-0.194482739628	-0.167053411443	0.232426530883	-0.167120332481	-0.488474798155	0.186182332629	-0.184891840683	-0.284367620688	0.165732832456
