id1,id2,weight
1130,90,1.0
1140,90,1.0
1150,90,1.0
1160,90,1.0
1170,90,1.0
1180,90,1.0
1190,90,1.0
1200,90,1.0
1210,90,1.0
1220,90,1.0
40110,1130,1.0
40110,90,1.0
40120,1130,1.0
40120,90,1.0
40130,1130,1.0
40130,40120,1.0
40140,1130,1.0
40140,40120,1.0
40150,1130,1.0
40150,40120,1.0
40160,1130,1.0
40160,40120,1.0
40170,1130,1.0
40170,40120,1.0
40180,1130,1.0
40180,90,1.0
40190,1130,1.0
40190,40180,1.0
40200,1130,1.0
40200,40180,1.0
40210,1140,1.0
40210,90,1.0
40220,1140,1.0
40220,40210,1.0
40230,1140,1.0
40230,40210,1.0
40240,1140,1.0
40240,40210,1.0
40250,1140,1.0
40250,40210,1.0
40260,1140,1.0
40260,40210,1.0
40270,1140,1.0
40270,90,1.0
40280,1140,1.0
40280,40270,1.0
40290,1140,1.0
40290,40270,1.0
40300,1140,1.0
40300,40270,1.0
40310,1140,1.0
40310,40270,1.0
40320,1140,1.0
40320,40270,1.0
40330,1140,1.0
40330,90,1.0
40340,1140,1.0
40340,40330,1.0
40350,1140,1.0
40350,40330,1.0
40360,1140,1.0
40360,40330,1.0
40370,1140,1.0
40370,40330,1.0
40380,1140,1.0
40380,40330,1.0
40390,1140,1.0
40390,90,1.0
40400,1140,1.0
40400,40390,1.0
40410,1140,1.0
40410,40390,1.0
40420,1140,1.0
40420,40390,1.0
40430,1140,1.0
40430,40390,1.0
40440,1140,1.0
40440,40390,1.0
40450,1140,1.0
40450,40390,1.0
40460,1140,1.0
40460,90,1.0
40470,1140,1.0
40470,40460,1.0
40480,1140,1.0
40480,40460,1.0
40490,1140,1.0
40490,40460,1.0
40500,1140,1.0
40500,40460,1.0
40510,1140,1.0
40510,40460,1.0
40520,1150,1.0
40520,90,1.0
40530,1150,1.0
40530,90,1.0
40540,1150,1.0
40540,40530,1.0
40550,1150,1.0
40550,40530,1.0
40560,1150,1.0
40560,90,1.0
40570,1150,1.0
40570,40560,1.0
40580,1150,1.0
40580,40560,1.0
40590,1150,1.0
40590,90,1.0
40600,1150,1.0
40600,40590,1.0
40610,1150,1.0
40610,40590,1.0
40620,1150,1.0
40620,40590,1.0
40630,1150,1.0
40630,40590,1.0
40640,1150,1.0
40640,90,1.0
40650,1150,1.0
40650,40640,1.0
40660,1150,1.0
40660,40640,1.0
40670,1150,1.0
40670,40640,1.0
40680,1150,1.0
40680,40640,1.0
40690,1150,1.0
40690,40640,1.0
40700,1160,1.0
40700,90,1.0
40710,1160,1.0
40710,40700,1.0
40720,1160,1.0
40720,40700,1.0
40730,1160,1.0
40730,40700,1.0
40740,1160,1.0
40740,40700,1.0
40750,1160,1.0
40750,90,1.0
40760,1160,1.0
40760,40750,1.0
40770,1160,1.0
40770,40750,1.0
40780,1160,1.0
40780,40750,1.0
40790,1160,1.0
40790,40750,1.0
40800,1160,1.0
40800,40750,1.0
40810,1160,1.0
40810,40750,1.0
40820,1160,1.0
40820,40750,1.0
40830,1160,1.0
40830,90,1.0
40840,1160,1.0
40840,40830,1.0
40850,1160,1.0
40850,40830,1.0
40860,1160,1.0
40860,40830,1.0
40870,1160,1.0
40870,40830,1.0
40880,1160,1.0
40880,90,1.0
40890,1160,1.0
40890,40880,1.0
40900,1160,1.0
40900,40880,1.0
40910,1160,1.0
40910,40880,1.0
40920,1160,1.0
40920,40880,1.0
40930,1160,1.0
40930,40880,1.0
40940,1160,1.0
40940,40880,1.0
40950,1160,1.0
40950,40880,1.0
40960,1160,1.0
40960,40880,1.0
40970,1160,1.0
40970,90,1.0
40980,1160,1.0
40980,40970,1.0
40990,1160,1.0
40990,40970,1.0
41000,1160,1.0
41000,40970,1.0
41010,1160,1.0
41010,40970,1.0
41020,1160,1.0
41020,90,1.0
41030,1160,1.0
41030,41020,1.0
41040,1160,1.0
41040,41020,1.0
41050,1160,1.0
41050,41020,1.0
41060,1160,1.0
41060,41020,1.0
41070,1160,1.0
41070,41020,1.0
41080,1160,1.0
41080,41020,1.0
41090,1160,1.0
41090,41020,1.0
41100,1160,1.0
41100,41020,1.0
41110,1160,1.0
41110,41020,1.0
41120,1170,1.0
41120,90,1.0
